JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2423682.265,7.83,,,Vis.,ZGB,,NA,,NA,"""AVB,V6B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423688.186,7.96,,,Vis.,ZGB,,NA,,NA,"""B1-2V,20X;A3B7G,VB,50X""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423690.113,7.84,,,Vis.,ZGB,,NA,,NA,"""V5B,AVB""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423691.126,7.84,,,Vis.,ZGB,,NA,,NA,"""AVB,V5B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423692.136,7.85,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423693.122,7.84,,,Vis.,ZGB,,NA,,NA,"""AVB,V4-5B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423694.127,7.95,,,Vis.,ZGB,,NA,,NA,VB!,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423694.159,7.89,,,Vis.,ZGB,,NA,,NA,"""V3B,A7V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423695.260,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423696.117,7.95,,,Vis.,ZGB,,NA,,NA,"""VB,A2-3B8-7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423696.249,8.05,,,Vis.,ZGB,,NA,,NA,"""B4-5V,B2-3V8-7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423697.119,7.98,,,Vis.,ZGB,,NA,,NA,B1-2V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423697.213,8.06,,,Vis.,ZGB,,NA,,NA,"""B3V7G,B5V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423698.150,8.11,,,Vis.,ZGB,,NA,,NA,"""B6-7V,B4-5V6-5G,A3B7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423700.129,8.14,,,Vis.,ZGB,,NA,,NA,BVG,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423701.093,8.14,,,Vis.,ZGB,,NA,,NA,BVG,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423702.114,8.24,,,Vis.,ZGB,,NA,,NA,"""B7V3G,V5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423702.166,8.14,,,Vis.,ZGB,,NA,,NA,BVG,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423703.121,8.14,,,Vis.,ZGB,,NA,,NA,"""BVG,A2-3B8-7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423703.212,8.19,,,Vis.,ZGB,,NA,,NA,"""B6-5V4-5,V6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423704.287,8.22,,,Vis.,ZGB,,NA,,NA,"""B6V4G,V5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423707.117,8.12,,,Vis.,ZGB,,NA,,NA,"""B4-5V6-5G,B7V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423709.235,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423712.096,7.97,,,Vis.,ZGB,,NA,,NA,B1V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423713.200,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423714.159,7.99,,,Vis.,ZGB,,NA,,NA,B2V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423721.079,7.80,,,Vis.,ZGB,,NA,,NA,A4-5V6-5B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423724.225,7.89,,,Vis.,ZGB,,NA,,NA,V3B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423725.087,7.82,,,Vis.,ZGB,,NA,,NA,A5-6V5-4B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423729.111,7.99,,,Vis.,ZGB,,NA,,NA,B2VG,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423731.130,8.06,,,Vis.,ZGB,,NA,,NA,"""B5V,B3V7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
